Date,Open,High,Low,Close,Adj Close,Volume
2021-09-02,2.360000,2.380000,2.350000,2.370000,2.370000,22819400
2021-09-03,2.380000,2.390000,2.360000,2.380000,2.380000,15426400
2021-09-06,2.370000,2.380000,2.350000,2.380000,2.380000,13868100
2021-09-07,2.370000,2.380000,2.360000,2.380000,2.380000,11522200
2021-09-08,2.370000,2.370000,2.350000,2.350000,2.350000,17310600
2021-09-09,2.350000,2.380000,2.340000,2.370000,2.370000,27273200
2021-09-10,2.370000,2.420000,2.370000,2.400000,2.400000,52768200
2021-09-13,2.390000,2.400000,2.360000,2.390000,2.390000,16915700
2021-09-14,2.390000,2.410000,2.390000,2.400000,2.400000,19627800
2021-09-15,2.380000,2.390000,2.360000,2.380000,2.380000,17991500
2021-09-16,2.390000,2.410000,2.390000,2.400000,2.400000,30200200
2021-09-17,2.400000,2.450000,2.390000,2.430000,2.430000,65171100
2021-09-20,2.420000,2.470000,2.420000,2.440000,2.440000,43205600
2021-09-21,2.440000,2.480000,2.430000,2.470000,2.470000,75406900
2021-09-22,2.450000,2.480000,2.440000,2.470000,2.470000,29398700
2021-09-23,2.470000,2.490000,2.450000,2.480000,2.480000,26014200
2021-09-24,2.490000,2.530000,2.480000,2.500000,2.500000,55826600
2021-09-27,2.500000,2.530000,2.490000,2.510000,2.510000,30828900
2021-09-28,2.500000,2.510000,2.470000,2.480000,2.480000,38826400
2021-09-29,2.450000,2.480000,2.450000,2.470000,2.470000,26537700
2021-09-30,2.470000,2.480000,2.440000,2.460000,2.460000,36749600
